date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-08,MRK,149.00,12169464,4.88,1.060,148.6900,146.2810,2.4090,1.64%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_59pct_of_range);RANGE_OVERSIZED(1.64%>1.5% cap - halve size if triggers),"BIAS_INVALIDATED - reversed against the short bias: 09:40 candle closed 149.175, above OR High(148.69); extended to ~148.85 by 09:55. No close below OR Low(146.28). Still watching, unlikely to confirm short now"
2026-09-08,TTWO,215.82,2857424,8.62,2.330,213.8400,210.6000,3.2400,1.52%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_22pct_of_range);RANGE_OVERSIZED(1.52%>1.5% cap - halve size if triggers),"drifted 210.62-212.38 through 09:55 ET, closest approach to OR Low(210.60) was 210.62 at 09:55; still inside range, watching"
2026-09-08,SLS,13.73,7901945,1.28,1.620,13.7000,13.3200,0.3800,2.79%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_3pct_of_range);RANGE_OVERSIZED(2.79%>1.5% cap - halve size if triggers),"BIAS_INVALIDATED - reversed against the short bias almost immediately: 09:35 candle closed 14.230, above OR High(13.70); extended to 14.38 by 09:55. Still watching, unlikely to confirm short now"
2026-09-08,GAIN,16.53,147818,0.24,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.15M<1M),watchlist
2026-09-08,MSFT,494.35,21986090,10.09,2.250,495.1900,491.3000,3.8900,0.79%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(weak-body_27pct_of_range);range_ok,"chopped 492.22-493.03 through 09:55 ET, never closed above OR High(495.19); still inside range, watching"
2026-09-08,NVDA,232.75,141733714,7.62,1.980,233.7100,231.7500,1.9600,0.85%,red,short,triggered_no_capital,09:35,230.8100,233.7100,full_range,226.4600,1.5,0,0,0%,,,,,pass_universe;rvol_pass;bias_short(strong-body_71pct_of_range);range_ok;body_close_confirmed,"very first post-OR candle (09:35) closed 230.81, below OR Low(231.75); continued the red first-candle momentum; NO CAPITAL - signal only, not executed"
2026-09-08,GOOGL,335.88,22706024,6.60,3.420,336.9900,334.7400,2.2500,0.67%,green,long,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(weak-body_22pct_of_range);range_ok,"BIAS_INVALIDATED - closed below OR Low(334.74) at 09:45 (333.94) against the long bias; drifted 333.80-334.00 through 09:55. Still watching, unlikely to confirm long now"
2026-09-08,CMPS,13.40,2111264,0.64,1.580,13.3900,13.1800,0.2100,1.59%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(weak-body_21pct_of_range);RANGE_OVERSIZED(1.59%>1.5% cap - halve size if triggers),"BIAS_INVALIDATED - reversed against the short bias almost immediately: 09:35 candle closed 13.600, above OR High(13.39); extended to 14.38 by 09:55. Still watching, unlikely to confirm short now"
2026-09-08,ABT,107.18,7706432,2.79,2.150,108.3900,106.4000,1.9900,1.87%,red,short,triggered_no_capital,09:35,106.2500,108.3900,full_range,103.0400,1.5,0,0,0%,,,,,pass_universe;rvol_pass;bias_short(strong-body_98pct_of_range);RANGE_OVERSIZED(1.87%>1.5% cap - halve size if triggers);body_close_confirmed,"first post-OR candle (09:35) closed 106.25, below OR Low(106.40); NO CAPITAL - signal only, not executed"
2026-09-08,RBLX,44.37,10206008,1.92,1.720,45.0900,43.3800,1.7100,3.88%,red,short,watching,,,,,,,,,,,,,,pass_universe;rvol_pass;bias_short(moderate-body_40pct_of_range);RANGE_OVERSIZED(3.88%>1.5% cap - halve size if triggers),"chopped 43.57-44.04 through 09:55 ET, never closed below OR Low(43.38); still inside range, watching"
