date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-18,MRK,146.00,8491957,2.981,0.23,147.8400,146.3100,1.5300,1.048%,green,long,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.23<1.0,watchlist; failed OR filter at Phase 2
2026-09-18,TTWO,209.66,2769493,7.709,11.55,211.7952,209.2000,2.5952,1.238%,red,short,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 209.20-211.80, red first candle, rvol=11.55, bias=short"
2026-09-18,SLS,11.47,6896589,1.015,3.22,11.7800,11.4000,0.3800,3.313%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(3.31%),"watchlist; OR 11.40-11.78, red first candle, rvol=3.22, bias=short; halve size if triggers"
2026-09-18,GAIN,15.63,176328,0.274,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.18M<1M;atr_14d~0.27<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,MSFT,496.35,19482459,10.247,16.43,498.6500,494.8700,3.7800,0.762%,red,short,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 494.87-498.65, red first candle, rvol=16.43, bias=short"
2026-09-18,NVDA,218.83,119181779,6.490,9.08,219.5700,218.0400,1.5300,0.699%,red,short,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 218.04-219.57, red first candle, rvol=9.08, bias=short"
2026-09-18,GOOGL,355.94,24929754,7.933,14.45,358.0000,355.6200,2.3800,0.669%,green,long,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 355.62-358.00, green first candle, rvol=14.45, bias=long"
2026-09-18,CMPS,14.99,2779381,0.884,1.33,15.1500,15.0000,0.1500,1.001%,green,long,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 15.00-15.15, green first candle, rvol=1.33, bias=long"
2026-09-18,ABT,101.81,7802320,2.730,0.42,102.1750,101.5000,0.6750,0.663%,green,long,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.42<1.0,watchlist; failed OR filter at Phase 2
2026-09-18,RBLX,47.50,9905651,2.315,0.23,47.6250,46.5201,1.1049,2.326%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.23<1.0,watchlist; failed OR filter at Phase 2
2026-09-18,LCID,4.2800,11601008,0.275,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5($4.28);atr_14d~0.28<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,RIVN,15.48,20897592,0.661,1.33,15.6450,15.3700,0.2750,1.776%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(1.78%),"watchlist; OR 15.37-15.64, red first candle, rvol=1.33, bias=short; halve size if triggers"
2026-09-18,REGN,781.82,588503,20.261,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.59M<1M),"watchlist; failed universe filter, no OR computed"
2026-09-18,LLY,1149.67,2209281,25.483,0.67,1157.6000,1141.0200,16.5800,1.442%,green,long,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.67<1.0,watchlist; failed OR filter at Phase 2
2026-09-18,VOO,700.00,8588950,6.133,3.55,702.0700,701.3100,0.7600,0.109%,red,short,watching,,,,,,,,,,,,,,pass_universe,"watchlist; OR 701.31-702.07, red first candle, rvol=3.55, bias=short"
2026-09-18,WY,21.50,5932549,0.472,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(atr_14d~0.47<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,WFG,72.77,243529,2.071,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.24M<1M),"watchlist; failed universe filter, no OR computed"
2026-09-18,RKT,12.56,29130699,0.632,0.84,12.6050,12.3300,0.2750,2.189%,green,long,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.84<1.0,watchlist; failed OR filter at Phase 2
2026-09-18,AMC,2.7200,23212103,0.160,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5($2.72);atr_14d~0.16<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,NOK,10.80,84585078,0.523,1.23,10.8300,10.6450,0.1850,1.713%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(1.71%),"watchlist; OR 10.64-10.83, red first candle, rvol=1.23, bias=short; halve size if triggers"
2026-09-18,NIO,3.7000,44713330,0.143,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5($3.70);atr_14d~0.14<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,BB,8.0793,9508771,0.343,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(atr_14d~0.34<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,GME,22.82,8671363,0.762,1.10,22.9500,22.5600,0.3900,1.709%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(1.71%),"watchlist; OR 22.56-22.95, red first candle, rvol=1.10, bias=short; halve size if triggers"
2026-09-18,DRIV,33.85,33975,0.571,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.03M<1M),"watchlist; failed universe filter, no OR computed"
2026-09-18,BLNK,0.5480,1304503,0.030,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5($0.55);atr_14d~0.03<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-18,FCEL,17.62,7603614,1.507,2.49,18.3700,17.7700,0.6000,3.405%,green,long,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(3.41%),"watchlist; OR 17.77-18.37, green first candle, rvol=2.49, bias=long; halve size if triggers"
2026-09-18,MTSI,271.01,1260000,15.90,6.88,273.4000,270.0000,3.4000,1.255%,red,short,watching,,,,,,,,,,,,,,pass_universe,"market_scan; OR 270.00-273.40, red first candle, rvol=6.88, bias=short"
2026-09-18,GOOG,351.92,16160000,7.78,15.82,353.6450,350.6900,2.9550,0.840%,green,long,watching,,,,,,,,,,,,,,pass_universe,"market_scan; OR 350.69-353.64, green first candle, rvol=15.82, bias=long"
2026-09-18,TSEM,224.00,1430000,13.99,1.77,226.0400,224.1050,1.9350,0.864%,green,long,watching,,,,,,,,,,,,,,pass_universe,"market_scan; OR 224.10-226.04, green first candle, rvol=1.77, bias=long"
2026-09-18,LITE,911.26,4210000,67.91,4.76,939.4000,915.0000,24.4000,2.678%,green,long,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(2.68%),"market_scan; OR 915.00-939.40, green first candle, rvol=4.76, bias=long; halve size if triggers"
2026-09-18,CIEN,351.00,2970000,26.79,0.90,358.0000,350.0000,8.0000,2.279%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.90<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,COHR,301.35,6060000,23.05,2.81,309.1500,302.1100,7.0400,2.336%,green,long,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(2.34%),"market_scan; OR 302.11-309.15, green first candle, rvol=2.81, bias=long; halve size if triggers"
2026-09-18,TEAM,196.00,3350000,9.15,1.27,193.9400,189.4827,4.4573,2.274%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(2.27%),"market_scan; OR 189.48-193.94, red first candle, rvol=1.27, bias=short; halve size if triggers"
2026-09-18,NUE,260.37,1050000,8.00,4.10,258.8500,252.2400,6.6100,2.539%,green,long,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(2.54%),"market_scan; OR 252.24-258.85, green first candle, rvol=4.10, bias=long; halve size if triggers"
2026-09-18,DLR,181.47,2180000,5.11,0.06,184.3800,183.1650,1.2150,0.670%,green,long,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.06<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,COIN,176.47,9820000,11.83,3.34,181.1700,177.6700,3.5000,1.983%,green,long,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(1.98%),"market_scan; OR 177.67-181.17, green first candle, rvol=3.34, bias=long; halve size if triggers"
2026-09-18,EWY,179.82,12910000,6.81,0.51,180.4900,179.6700,0.8200,0.456%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.51<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,PGR,213.30,1910000,4.29,0.26,215.1400,213.5500,1.5900,0.745%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.26<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,VEEV,267.00,1510000,9.42,0.12,263.5000,260.3400,3.1600,1.184%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.12<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,ACN,187.98,4290000,6.66,0.60,189.4800,186.9300,2.5500,1.357%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.60<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,APD,283.00,1030000,6.01,0.06,286.0300,282.9400,3.0900,1.092%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.06<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,MTZ,209.99,1530000,14.23,0.42,212.9800,209.8900,3.0900,1.471%,red,short,skipped,,,,,,,,,,,,,,pass_universe; fail_rvol0.42<1.0,market_scan; failed OR filter at Phase 2
2026-09-18,GNRC,209.41,1500000,11.74,4.16,214.8500,207.6000,7.2500,3.462%,red,short,watching,,,,,,,,,,,,,,pass_universe; RANGE_OVERSIZED(3.46%),"market_scan; OR 207.60-214.85, red first candle, rvol=4.16, bias=short; halve size if triggers"
