date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-17,MRK,146.01,8311043,3.076,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,TTWO,212.45,2883091,8.242,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,SLS,11.42,7418412,1.106,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,GAIN,16.18,173299,0.258,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.17M<1M;atr_14d~0.26<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-17,MSFT,496.20,20257253,10.621,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,NVDA,218.90,133804533,7.548,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,GOOGL,348.24,25226400,7.708,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,CMPS,14.23,2543034,0.807,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,ABT,102.70,7797255,2.741,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,RBLX,47.80,10258425,2.268,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
2026-09-17,LCID,4.2000,12333716,0.292,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5($4.20);atr_14d~0.29<0.50),"watchlist; failed universe filter, no OR computed"
2026-09-17,RIVN,15.53,20150050,0.646,,,,,,,,pending,,,,,,,,,,,,,,pass_universe,watchlist; awaiting 09:30-09:35 ET OR candle
