date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-08-31,MRK,146.26,11836912,3.89,0.123,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(12%<100%),
2026-08-31,TTWO,226.44,2388370,8.03,2.47,234.565,226.02,8.545,3.71%,red,short,triggered_no_capital,09:40,222.055,234.565,full_range,203.29,1.5,0,0,0%,,,,,pass_universe;rvol_pass;bias_short;RANGE_OVERSIZED(3.71%>>1.5% cap - skip or minimal size only);body_close_below_OR_low_confirmed(47%_body),gapped down hard overnight (Fri close 235.41 -> today open 233.56); breakout held through 09:55 close 219.565; 2R target 197.035; NO CAPITAL - signal only, not executed (account equity $0)
2026-08-31,SLS,13.1598,6882776,1.13,4.87,13.37,13.05,0.32,2.42%,red,short,expired,,,,,,,,,,,,,pass_universe;rvol_pass(strong);bias_short;RANGE_OVERSIZED(2.42%>1.5% cap - halve size if triggers),BIAS_INVALIDATED then drifted lower into the close of the window; low touched 13.08 (10:45 ET) but never closed below OR Low 13.05 by entry_cutoff_et 11:00 - no clean breakout, expired
2026-08-31,MSFT,510.775,24340604,5.5,1.97,,,,,,,skipped,,,,,,,,,,,,,,fail_doji(body only 9% of range; open~close),
2026-08-31,NVDA,217.1445,104463460,10.7,2.24,219.348,217.04,2.308,1.06%,red,short,triggered_no_capital,09:40,216.8899,219.348,full_range,213.2028,1.5,0,0,0%,,,,,pass_universe;rvol_pass;bias_short;range_ok;body_close_below_OR_low(weak_23%_body),FAILED/FADED: bounced back above OR Low (217.04) by 09:45 to 218.00, continued up to 218.1623 by 09:55; done for the day (one setup per symbol rule) - no re-entry; NO CAPITAL - signal only
2026-08-31,GOOGL,342.73,21252687,7.8,2.46,344.59,341.20,3.39,0.99%,red,short,triggered_no_capital,09:45,340.54,344.59,full_range,334.465,1.5,0,0,0%,,,,,pass_universe;rvol_pass;bias_short(weak-body_29pct_of_range);range_ok;body_close_below_OR_low_confirmed(92%_body),held below through 09:55 close 341.07; 2R target 332.44; NO CAPITAL - signal only, not executed
2026-08-31,CMPS,13.675,2552831,0.68,1.63,13.86,13.65,0.21,1.53%,green,long,expired,,,,,,,,,,,,,pass_universe;rvol_pass;bias_long(very_weak-body_12pct_of_range);RANGE_OVERSIZED(1.53%>1.5% cap - halve size - marginal),BIAS_INVALIDATED as of 09:50: broke DOWN below OR Low instead of up; never confirmed above OR High 13.86 by entry_cutoff_et 11:00 - no clean breakout, expired
2026-08-31,ABT,110.68,7446742,1.5,0.172,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(17%<100%),
2026-08-31,RBLX,38.87,11976630,,0.633,,,,,,,skipped,,,,,,,,,,,,,,fail_rvol(63%<100%),
2026-08-31,LCID,4.94,,,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5 today),
2026-08-31,RIVN,16.21,20515520,,3.09,16.27,15.93,0.34,2.11%,green,long,triggered_no_capital,10:25,16.295,15.93,full_range,16.8425,1.5,0,0,0%,,,,,pass_universe;rvol_pass(strong);bias_long;RANGE_OVERSIZED(2.11%>1.5% cap - halve size if triggers);body_close_above_OR_high_confirmed(50%_body),broke above OR High 16.27 at 10:25 ET (close 16.295), confirmed next candle (close 16.37) then pulled back to 16.12-16.15 by 10:50 - weak follow-through, watch for stop; 2R target 17.025; NO CAPITAL - signal only, not executed
2026-08-31,REGN,792.00,~0.7M(recent proxy),,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.72M<1M),
